LEA_NAME,STATE,ZIP,OP
Wrangell Public School District,ALASKA,99929,3
Yakutat School District,ALASKA,99689,2
Yukon-Koyukuk School District,ALASKA,99709,11
Cave Creek Unified District (4244),ARIZONA,85327,8
Chino Valley Unified District (4474),ARIZONA,86323,4
Clarkdale-Jerome Elementary District (4486),ARIZONA,86324,1
Salome Consolidated Elementary District (4514),ARIZONA,85348,1
Center for Academic Success Inc. (4191),ARIZONA,85635,5
Pine Forest Education Association Inc. (4201),ARIZONA,86001,1
Flagstaff Arts And Leadership Academy (4202),ARIZONA,86001,1
Flagstaff Montessori L.L.C. (4205),ARIZONA,94539,1
Colorado City Unified District (4370),ARIZONA,86021,2
Vernon Elementary District (4162),ARIZONA,85940,1
Pinon Unified District (4390),ARIZONA,86510,3
Heber-Overgaard Unified District (4392),ARIZONA,85928,4
Triumphant Learning Center (4225),ARIZONA,85546,1
Ridgeline Academy Inc. (4301),ARIZONA,85331,1
Boys & Girls Clubs of the East Valley dba Mesa Art (4305),ARIZONA,85210,1
Reid Traditional Schools' Valley Academy Inc. (4306),ARIZONA,85023,1
Foothills Academy (4309),ARIZONA,85266,2
Twenty First Century Charter School Inc. Bennett  (4310),ARIZONA,85017,2
STEP UP Schools Inc. (4313),ARIZONA,85201,1
Maricopa County Community College District dba Gat (4314),ARIZONA,85034,1
New School For The Arts (4316),ARIZONA,85281,1
Salt River Pima-Maricopa  Community Schools (4320),ARIZONA,85256,2
Espiritu Community Development Corp. (4335),ARIZONA,85040,1
Heritage Academy Inc. (4336),ARIZONA,85210,2
Villa Montessori Charter School (4339),ARIZONA,85016,1
EduPreneurship Inc. (4341),ARIZONA,85051,1
Arizona School For The Arts (4345),ARIZONA,85004,1
Arizona Call-a-Teen Youth Resources Inc. (4346),ARIZONA,85003,1
Intelli-School Inc. (4352),ARIZONA,85021,1
Benjamin Franklin Charter School - Queen Creek (4355),ARIZONA,85142,4
Victory High School Inc. (4358),ARIZONA,85066,1
Montessori Day Public Schools Chartered Inc. (4359),ARIZONA,85021,2
Khalsa Montessori Elementary Schools (4360),ARIZONA,85004,1
Tempe Preparatory Academy (4361),ARIZONA,85282,1
Bright Beginnings School Inc. (4362),ARIZONA,85224,1
Montessori Education Centre Charter School (4363),ARIZONA,85204,2
Kingman Academy Of Learning (4383),ARIZONA,86409,4
Young Scholars Academy Charter School Corp. (4385),ARIZONA,86426,1
Career Development Inc. (4400),ARIZONA,85939,1
Edge School Inc. The (4421),ARIZONA,85716,2
Tucson Youth Development/ACE Charter High School (4422),ARIZONA,85705,2
Presidio School (4425),ARIZONA,85719,1
Colorado River Union High School District (4381),ARIZONA,86439,3
Portable Practical Educational Preparation Inc. ( (4431),ARIZONA,85714,6
Sedona Charter School Inc. (4492),ARIZONA,86336,1
Mingus Springs Charter School (4493),ARIZONA,86323,1
Franklin Phonetic Primary School Inc. (4495),ARIZONA,86314,1
Skyview School Inc. (4496),ARIZONA,86303,1
Az-Tec High School (4508),ARIZONA,85364,1
Yuma Private Industry Council Inc. (4509),ARIZONA,85364,1
Mountain School Inc. (4203),ARIZONA,86005,1
Northland Preparatory Academy (4204),ARIZONA,86004,1
Flagstaff Junior Academy (4207),ARIZONA,86001,1
Liberty High School (4216),ARIZONA,85502,1
Ball Charter Schools (Hearn) (4294),ARIZONA,85023,1
Friendly House Inc. (4303),ARIZONA,85030,1
Ombudsman Educational Services Ltd.a subsidiary  (4323),ARIZONA,60048,7
Hillcrest Academy Inc. (4328),ARIZONA,85206,0
Arizona Agribusiness & Equine Center Inc. (4331),ARIZONA,85012,1
International Commerce Secondary Schools Inc. (4334),ARIZONA,85014,2
Humanities and Sciences Academy of the United Stat (4337),ARIZONA,85014,3
Phoenix Advantage Charter School Inc. (4338),ARIZONA,85016,1
Allen-Cochran Enterprises Inc. (4347),ARIZONA,85248,1
American Leadership Academy Inc. (4348),ARIZONA,85286,9
Fountain Hills Charter School (4356),ARIZONA,85269,1
Hermosa Montessori Charter School (4426),ARIZONA,85749,1
Arizona Department of Corrections (8336),ARIZONA,85007,0
Accelerated Learning Center Inc. (4297),ARIZONA,85028,1
Acclaim Charter School (4325),ARIZONA,85033,1
Genesis Program Inc. (4332),ARIZONA,85004,1
Luz Academy of Tucson Inc (4427),ARIZONA,85705,0
Montessori Schoolhouse of Tucson Inc. (4428),ARIZONA,85719,2
Accelerated Elementary and Secondary Schools (6364),ARIZONA,85745,1
Edkey Inc. dba American Heritage Academy  (6365),ARIZONA,86326,2
The Charter Foundation Inc. (6355),ARIZONA,85018,4
BASIS Charter Schools Inc. (6361),ARIZONA,85258,1
Challenge School Inc. (6362),ARIZONA,85308,1
Discovery Plus Academy (6357),ARIZONA,85543,1
Florence Crittenton Services of Arizona Inc. (4300),ARIZONA,85013,1
Gem Charter School Inc. (6372),ARIZONA,85201,1
Ha:san Educational Services (6369),ARIZONA,85719,1
Kaizen Education Foundation dba El Dorado High Sch (4342),ARIZONA,85020,2
Mexicayotl Academy Inc. (4463),ARIZONA,85621,2
New Horizon School for the Performing Arts (4366),ARIZONA,85204,1
Phoenix School of Academic Excellence The (6379),ARIZONA,85014,1
Shonto Governing Board of Education Inc. (6353),ARIZONA,86054,1
Edkey Inc. - Sequoia Choice Schools (4329),ARIZONA,85204,2
Tucson Preparatory School (6374),ARIZONA,85705,1
Vision Charter School Inc. (4430),ARIZONA,85734,1
Coconino County Accommodation School District (10386),ARIZONA,86001,2
Arizona Academy of Science And Technology Inc. (6378),ARIZONA,85014,0
Keystone Montessori Charter School Inc. (10878),ARIZONA,85048,1
Greenlee Alternative School District (4226),ARIZONA,85533,0
Benchmark School Inc. (10972),ARIZONA,85032,1
Cambridge Academy  East  Inc (78888),ARIZONA,85207,2
Ball Charter Schools (Dobson) (79204),ARIZONA,85224,1
Phoenix Education Management LLC (4340),ARIZONA,85040,1
Stepping Stones Academy (10966),ARIZONA,85086,1
East Valley Academy (10971),ARIZONA,85257,0
Liberty Traditional Charter School (10968),ARIZONA,85712,2
Fit Kids Inc. dba Champion Schools (78783),ARIZONA,85042,3
Sonoran Desert School (78868),ARIZONA,85118,0
Northern Arizona Vocational Institute of Technolog (78786),ARIZONA,85937,19
Pima County (4420),ARIZONA,85714,1
Academy of Tucson Inc. (78897),ARIZONA,85748,3
Mountain Rose Academy Inc. (10879),ARIZONA,85741,1
Great Expectations Academy (10974),ARIZONA,85629,1
Desert Springs Academy (10969),ARIZONA,85716,0
Mountain Oak Charter School Inc. (78873),ARIZONA,86301,1
Park View School Inc. (10970),ARIZONA,86314,2
Painted Pony Ranch Charter School (10967),ARIZONA,86301,1
Mary Ellen Halvorson Educational Foundation. dba:  (10965),ARIZONA,86301,1
Benson Unified School District (79226),ARIZONA,85602,5
Painted Desert Demonstration Projects Inc. (79086),ARIZONA,86004,1
The Shelby School (79131),ARIZONA,85547,0
Little Lamb Community School (79050),ARIZONA,85259,1
American Basic Schools LLC (79215),ARIZONA,85204,1
